Question|Answer
Whats is DTT?| DTT us the acronym for "Development of Technology Transfer"
What is DTT used for?|The DTT project serves as the link between undergraduate students in the final Practical School of Engineering in Sciences and Systems and the professional world, research, entrepreneurship, and the government. This connection allows students to become acquainted with elements of the job market and technological needs in Guatemala. Additionally, it creates a communication channel for socializing and disseminating research and innovative projects developed in the School of Engineering in Sciences and Systems, through the publication of articles prepared by students on the website and on the designated Fan Page for this project.
What is University of San Carlos de Guatemala?|The University of San Carlos de Guatemala (USAC) is the oldest public university in Central America. Founded in 1676 by the Spanish Crown, it is an autonomous institution with a long history of commitment to the scientific, social, humanistic, and environmental development of the country.Some important facts about USAC: Mission: To train professionals with ethical principles through academic excellence. Vision: To be the state higher education institution, autonomous, with a democratic culture, with a multi- and intercultural focus, linked and committed to scientific, social, humanistic, and environmental development.
What is School of Sciences and Systems at University of San Carlos de Guatemala?|The student of the Faculty of Engineering at the University of San Carlos de Guatemala will be recognized as a superior professional, based on the knowledge incorporated into the curriculum to train students comprehensively, providing them with the appropriate tools for their professional development. The mission is to develop in the student the competencies that guarantee success in knowledge construction through different learning styles and to promote ongoing research to enable a better quality of life for the community. Considering the current market options in the country (logistics, management, information technology, finance, accounting, commerce, etc.), as well as the international market, there is a significant global demand and competitiveness today.
What is USAC?| USAC is the acronym for University of San Carlos de Guatemala
What is ECYS at USAC?| ECYS is the acronym for School of Sciences and Systems of the University of San Carlos de Guatemala
What are the skills that a graduate of the Bachelor's Degree in Science and Systems Engineering should have?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of the Bachelor of Science and Systems Engineering must be able to analyze, design, build and size electronic computing and programming systems, understand users and their expectations, include scientific modeling and simulation, manage human resources by forming teams of work, work jointly with other specialists, understand problems and situations, apply the most recent technological advances, present, discuss and defend the application of their technical knowledge, model physical phenomena, apply a systemic approach to proposed solutions, evaluate, compare and select computer equipment, understand technical language in a foreign language, apply professional knowledge protected by professional ethics, design, implement, configure and maintain digital communications networks, solve problems with theoretical orientation, apply knowledge of solving computer solutions that are auditable, develop automatic digital control systems for the industry, and know the selection criteria for computer languages.
What leadership skills are expected from a Science and Systems Engineering graduate?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering is expected to be able to understand problems and situations, present a vision, be a strategist and be able to take leadership in driving business modernization. This includes project management.
What technical skills are required in a Science and Systems Engineering graduate?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering must be able to analyze, design, build and size electronic computing and programming systems, include scientific modeling and simulation, evaluate, compare and select computing equipment, software tools and computer services, design , implement, configure and maintain digital communications networks, solve problems with theoretical orientation, such as the design of automata, modeling of data structures, administration, architecture and operation of operating systems, database systems, compilers, etc., and develop automatic digital control systems for the industry.
What is a Science and Systems Engineering graduate expected to be able to do with programming languages?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering is expected to know the selection criteria for computer languages ​​and understand the way they work.
What communication skills are expected of a Science and Systems Engineering graduate?|According to the document Graduation Profile of the Science and Systems Engineering Student. A graduate of Science and Systems Engineering is expected to be able to present, discuss and defend the application of their technical knowledge in management environments where decisions are made for the technological development of different industries and the state. In addition, she must be able to understand technical language, at least, in a foreign language.
