Question|Answer
What is the mission of the Internship program?|According to the final internship regulations and Article 1, the mission of the Internship program is to train engineering students with the ability to apply the knowledge, abilities (skills) and criteria of their specialty according to their academic level, in such a way that they can confront theoretical knowledge with the real world and thus verify its veracity.
What faculty is the Internship program part of?|According to the final internship regulations and Article 1, the Internship program is part of the curriculum of the engineering faculty of the University of San Carlos of Guatemala.
What types of activities does the Internship program include?|According to the final internship regulations and Article 1, the Internship program includes a series of practical activities designed in different modalities.
What skills are students expected to develop through the Internship program?|According to the final internship regulations and Article 1, students are expected to develop the ability to apply knowledge, abilities (skills) and criteria of their specialty.
What is the purpose of confronting theoretical knowledge with the real world in the Internship program?|According to the final internship regulations and Article 1, the purpose of comparing theoretical knowledge with the real world in the Internship program is to verify the veracity of said knowledge.
What academic level must students be at to participate in the Internship program?|According to the final internship regulations and Article 1, students must apply their knowledge, skills and criteria according to their academic level to participate in the Internship program.
In what context are the practical activities of the Internship program developed?|According to the final internship regulations and Article 1, the practical activities of the Internship program are developed in different modalities as part of the engineering faculty's curriculum.
What is the aim to achieve by training students with the ability to apply knowledge in the Internship program?|According to the final internship regulations and Article 1, the aim is to ensure that students can compare theoretical knowledge with the real world and thus verify its veracity by training students with the ability to apply knowledge in the Internship program.
What is the vision of the internship program?|According to the final internship regulations and article 2, the vision of the internship program is to be a leading internship program with levels of excellence in the different specialties of Engineering, training students who can integrate the knowledge, abilities (skills) and criteria acquired during their career, in order to graduate highly qualified professionals.
What areas of study does the internship program focus on?|According to the final internship regulations and article 2, the internship program focuses on the different specialties of Engineering.
What skills are students expected to develop during the internship program?|According to the final internship regulations and article 2, students are expected to develop abilities (skills) that allow them to integrate the knowledge and criteria acquired during their degree.
What is the ultimate goal for students participating in the internship program?|According to the final internship regulations and article 2, the final objective for students who participate in the internship program is to graduate as highly qualified professionals.
What criteria are students expected to integrate during their degree?|According to the final internship regulations and article 2, students must integrate the knowledge, abilities (skills) and criteria acquired during their degree.
What level of excellence does the internship program seek to achieve?|According to the final internship regulations and article 2, the internship program seeks to achieve levels of excellence in the different engineering specialties.
How does the internship program contribute to the training of students?|According to the final internship regulations and article 2, the internship program contributes to the training of students by allowing them to integrate the knowledge, abilities (skills) and criteria acquired during their career, in order to graduate as highly qualified professionals.
What type of professionals does the internship program aim to train?|According to the final internship regulations and article 2, the internship program aims to train highly qualified professionals.
How important is the integration of knowledge in the internship program?|According to the final internship regulations and article 2, the integration of knowledge is crucial in the internship program since it allows students to apply what they have learned during their career to graduate as highly qualified professionals.
What elements are essential in the training of students in the internship program?|According to the final internship regulations and article 2, the essential elements in the training of students in the internship program are the knowledge, abilities (skills) and criteria acquired during their career.
Who makes up the internship program?|According to the final internship regulations and article 3, the internship program is made up of the EPS Management, the Coordinators and the teaching advisors.
What is the unit responsible for carrying out the internship program?|According to the final internship regulations and article 3, the unit responsible for carrying out the internship program is the EPS Unit.
Who runs the EPS Unit?|According to the final practices regulations and article 3, the EPS Unit is directed by the Director.
What are the coordinations that are part of the organizational structure of the internship program?|According to the final internship regulations and article 3, the coordinations that are part of the organizational structure of the internship program are: 1) Initial Internships, 2) Intermediate Internships, 3) Final Internships.
What roles do advisors include within the internship program?|According to the final internship regulations and article 3, the advisors are part of the structure of the internship program and collaborate as teachers.
How is the internship program classified according to its phases?|According to the final internship regulations and article 3, the internship program is classified into three phases: Initial Internships, Intermediate Internships and Final Internships.
Who is responsible for coordinating the different phases of the internship program?|According to the final internship regulations and article 3, those responsible for coordinating the different phases of the internship program are the Coordinators assigned to Initial Internships, Intermediate Internships and Final Internships.
What is meant by engineering practices according to the definition provided?|According to the final internship regulations and article 4, engineering practices are the application of knowledge, skills and criteria by the engineering student in any of the specialties, according to their level of knowledge, in such a way that they can confront theoretical knowledge with the real world and thus verify its veracity.
How are engineering practices divided?|According to the final internship regulations and article 4, engineering internships are divided into three categories: Initial Internships, Intermediate Internships and Final Internships (work internship or youth entrepreneurs).
What is the purpose of the Engineering Internship Program at the Faculty of Engineering?|According to the regulations on final internships and article 4, the Engineering Internship Program constitutes the initial EPS of the Faculty of Engineering and is mandatory, prior to opting for the professional technical exam or completion of the final EPS in the undergraduate degree. degree.
What is required for an engineering student to qualify for the professional technical exam or take the final EPS?|According to the final internship regulations and article 4, it is mandatory for the student to complete the Engineering Internship Program, which constitutes the initial EPS of the Faculty of Engineering, before opting for the professional technical exam or taking the final EPS in the degree. undergraduate.
