Question|Answer
What is the official information delivery channel?|According to the annual document DSI-104. The official information delivery channel is dsi.fiusac@gmail.com.
What is the communication channel with the DTT coordinator?|According to the annual document DSI-104. The communication channel with the DTT coordinator is marin2m@gmail.com.
What should be done with emails related to DSI-104 control that are sent to the DTT coordinator?|According to the annual document DSI-104. All emails related to the control of DSI-104 that are sent to the DTT coordinator must necessarily include a copy to the DSI team email.
What are the official platforms mentioned for the educational and practice process?|According to the annual document DSI-104. The official platforms mentioned are UEDI for the educational process and DTT for the practice process.
What are the requirements to obtain the full grade in the forums during the week?|According to the annual document DSI-104. The requirements are: create an event in DTT at the beginning of each week, create a forum in UEDI at the beginning of each week, interact with students in said forum, using screenshots as evidence, and only use UEDI, Classroom or email to communicate with tutors.
What happens if forums are submitted unanswered or with inadequate responses?|According to the annual document DSI-104. A penalty will be applied if the forums are submitted without being answered or if the answers are too far outside the range of the forum.
What percentage does DTT capture represent in the evaluation of the weekly forums?|According to the annual document DSI-104. DTT capture represents 35% of the evaluation of the weekly forums.
What happens if the submitted forum images do not show the date and time or are altered?|According to the annual document DSI-104. A penalty will be applied, and delivery may even be canceled if the images on the forums do not display the date and time correctly, are altered, cropped or edited so that they are not legible.
What are the only means of interaction permitted with students according to established standards?|According to the annual document DSI-104. The only means of interaction allowed are UEDI, Classroom or email for tutors who do not have access to UEDI. Other communication channels will not be considered.
What actions must be taken at the beginning of each week to meet forum requirements?|According to the annual document DSI-104.At the beginning of each week, an event must be created in DTT and a forum in UEDI, in addition to being prepared to interact with students in the forum.
How should the interaction with students in the forum be documented?|According to the annual document DSI-104.Interaction with students in the forum must be documented using screenshots, clearly showing the students' questions and the answers provided.
What is the time period in which the form is enabled for delivery of the forums?|According to the annual document DSI-104, the form for submitting the forums will be enabled every Sunday from 00:01 to 23:59 on Monday.
What is the weighting of evidence of interaction with students in the evaluation of the forums?|According to the annual document DSI-104, evidence of interaction with students represents 30% of the evaluation of the forums.
What happens if a tutor does not have access to UEDI but needs to communicate with students?|According to the annual document DSI-104. In that case, the tutor can use Classroom or email to communicate with students, as long as other unauthorized communication channels are not used.
What is the main objective of laboratory attendance audits?|According to the annual document DSI-104. The main objective is to guarantee that when the 104 team enters to validate attendance at the beginning and end, the laboratory is being taught correctly, consisting of two periods of 50 minutes each.
What is the procedure that 104 staff follow during laboratory attendance audits?|According to the annual document DSI-104, staff 104 proceeds to enter the session to take the laboratory start attendance in the first 5 minutes, and between minutes 80 to 90 they enter to verify the laboratory exit attendance.
How is attendance calculated during laboratory audits?|According to the annual document DSI-104. It is calculated by adding the two audit marks, which correspond to the beginning and end of the laboratory. If both marks add up to 100% attendance, it is considered complete. In case of failure in any of the brands, there is a 50% penalty.
What happens if an activity does not have a metric within the DTT?|According to the annual document DSI-104. Activities without metrics cannot be considered as planned activities within DTT, since they are activities inserted during the reporting period, therefore, they would not be taken into account in attendance audits. laboratories.
What is the importance of taking into account Official Holidays within the activities planned in the DTT portal?|According to the annual document DSI-104, it is important to consider Official Holidays to prevent them from affecting the content of the laboratory and guarantee the continuity of planned activities.
What should be done each week regarding cases with entry or exit problems?|According to the annual document DSI-104. Every week, all cases that present some type of problem both at entry and exit must be reported via email to the DTT coordinator, with a copy to the practitioners responsible for said errors.
How is delivery of deliverable forms notified and what to do if confirmation is not received?|According to the annual document DSI-104, the deliverable forms have the mail notification system implemented. If confirmation is not received, it must be documented with screenshots and notified to the DSI 104 email, in addition to continuing to try to send the deliverable.
What should be done if grading or activities are carried out that exceed the total laboratory time?|According to the annual document DSI-104, the recording must be stopped and, upon obtaining the recording link, enter it in the corresponding form. The remainder of the recorded activity must be submitted by mail to the DSI. Failure to do so will be considered a foul.
What to do if the recording is not available to view but you have the link to the recording?|According to the annual document DSI-104. If the recording is not available for viewing but the link is available, that link must be provided. The fact that the video is not available will not be accepted as a justification.
What should be done if cases with both entry and exit problems are detected?|According to the annual document DSI-104. Every week, all cases that encounter some type of problem both in entry and exit must be reported via email to the DTT coordinator, with a copy to the practitioners who committed said errors.
What happens if no confirmation is received after submitting a deliverable form?|According to the annual document DSI-104. If confirmation is not received after submitting a deliverable form, it must be documented with screenshots and notified to the DSI 104 email, in addition to continuing to try to send the deliverable.
What action should be taken if qualifications or activities are carried out that exceed the total laboratory time?|According to the annual document DSI-104. If qualifications or activities are carried out that exceed the total time of the laboratory, the recording must be stopped and when obtaining the recording link, enter it in the corresponding form. The rest of the recorded activity must be delivered via DSI mail.
