porPregunta|Respuesta
¿Cuál es el procedimiento para organizar el entregable de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. El procedimiento implica la creación de una carta de aprobación de la conferencia que será firmada únicamente por el coordinador DTT para agilizar el proceso. Esta carta debe ser subida por el practicante. No se debe modificar el formato de la carta, solo agregar los datos personales y los datos del docente. La carta debe enviarse al correo dtt.ecys@gmail.com para la firma correspondiente antes de subirla a DTT.
¿Qué correo se debe utilizar en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. Se debe utilizar el correo dtt.ecys@gmail.com.
¿Quién debe firmar la carta de aprobación de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. La carta de aprobación de la conferencia será firmada únicamente por el coordinador DTT.
¿Qué se debe hacer después de obtener la firma en la carta de aprobación de la conferencia?|Según el documento Procedimiento de Conferencias Online. Después de obtener la firma en la carta de aprobación de la conferencia, el practicante debe subir dicha carta a DTT.
¿Cuál es el procedimiento para organizar el entregable de la conferencia en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. El procedimiento implica enviar un correo para solicitar la firma de la carta o el reporte de la conferencia. Para la carta de Vo.Bo de la conferencia, el asunto del correo debe ser “Firma carta conferencia carnet Nombre Curso Sección” y el mensaje debe ser “Se solicita la Vo.Bo para carta aprobación conferencia online carnet Nombre-curso-sec”. Para el Vo.Bo del reporte de la conferencia, el asunto del correo debe ser “Firma Reporte conferencia carnet Nombre Curso Sección” y el mensaje debe ser “Se solicita la vo.bo para subir reporte conferencia online carnet Nombre-curso-sec”. Este procedimiento tiene como objetivo estandarizar y facilitar la publicación y el control de la firma de documentos.
¿Cómo se debe formatear el correo para solicitar la firma de la carta de la conferencia?|Según el documento Procedimiento de Conferencias Online. El asunto del correo debe ser “Firma carta conferencia carnet Nombre Curso Sección” y el mensaje debe ser “Se solicita la Vo.Bo para carta aprobación conferencia online carnet Nombre-curso-sec”.
¿Qué se debe colocar en el encabezado de la hoja de firma del reporte de la conferencia?|Según el documento Procedimiento de Conferencias Online. En el encabezado de la hoja de firma del reporte de la conferencia, se debe colocar el carnet, el nombre, el curso y la sección.
¿Cuál es el formato correcto para el nombre de los archivos de la carta y el informe en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. Para la carta, el formato del nombre del archivo debe ser “carnet-nombre-curso-sec-carta.pdf”. Para el informe de la conferencia, el formato del nombre del archivo debe ser “carnet-nombre-curso-sec-Informe-conferencia.pdf”.
¿A quién se debe enviar el correo con la propuesta del conferencista y el CV en el proceso de prácticas docentes dentro del proyecto DTT?|Según el documento Procedimiento de Conferencias Online. El correo con la propuesta del conferencista y el CV debe enviarse al docente del curso.
¿A quién se debe enviar una copia del correo con la propuesta del conferencista y el CV?|Según el documento Procedimiento de Conferencias Online. Una copia del correo con la propuesta del conferencista y el CV debe enviarse al coordinador DTT.
