Pregunta|Respuesta
¿Cuál es el canal de entrega de información oficial?|Según el documento anual DSI-104.El canal de entrega de información oficial es dsi.fiusac@gmail.com.
¿Cuál es el canal de comunicación con el coordinador DTT?|Según el documento anual DSI-104.El canal de comunicación con el coordinador DTT es marin2m@gmail.com.
¿Qué se debe hacer con los correos relacionados con el control del DSI-104 que se envían al coordinador del DTT?|Según el documento anual DSI-104.Todos los correos relacionados con el control del DSI-104 que se envían al coordinador del DTT deben llevar obligatoriamente una copia al correo del equipo del DSI.
¿Cuáles son las plataformas oficiales mencionadas para el proceso educativo y de práctica?|Según el documento anual DSI-104.Las plataformas oficiales mencionadas son UEDI para el proceso educativo y DTT para el proceso de práctica.
¿Cuáles son los requisitos para obtener la nota completa en los foros durante la semana?|Según el documento anual DSI-104.Los requisitos son: crear un evento en DTT al inicio de cada semana, crear un foro en UEDI al inicio de cada semana, interactuar con los alumnos en dicho foro, utilizando capturas de pantalla como evidencia, y utilizar únicamente UEDI, Classroom o correo electrónico para comunicarse con los tutores.
¿Qué sucede si los foros son entregados sin ser respondidos o con respuestas inadecuadas?|Según el documento anual DSI-104.Se aplicará una penalización si los foros son entregados sin ser respondidos o si las respuestas están muy fuera del rango del foro.
¿Qué porcentaje representa la captura DTT en la evaluación de los foros semanales?|Según el documento anual DSI-104.La captura DTT representa el 35% de la evaluación de los foros semanales.
¿Qué sucede si las imágenes de los foros enviados no muestran la fecha y hora o están alteradas?|Según el documento anual DSI-104.Se aplicará una penalización, e incluso podría anularse la entrega si las imágenes de los foros no muestran la fecha y hora correctamente, están alteradas, recortadas o editadas de forma que no sean legibles.
¿Cuáles son los únicos medios de interacción permitidos con los alumnos según las normas establecidas?|Según el documento anual DSI-104.Los únicos medios de interacción permitidos son UEDI, Classroom o correo electrónico para los tutores que no tienen acceso a UEDI. Otros canales de comunicación no serán considerados.
¿Qué acciones deben realizarse al inicio de cada semana para cumplir con los requisitos de los foros?|Según el documento anual DSI-104.Al inicio de cada semana, se deben crear un evento en DTT y un foro en UEDI, además de estar preparado para interactuar con los estudiantes en el foro.
¿Cómo se debe documentar la interacción con los alumnos en el foro?|Según el documento anual DSI-104.La interacción con los alumnos en el foro debe documentarse utilizando capturas de pantalla, mostrando claramente las preguntas de los estudiantes y las respuestas proporcionadas.
¿Cuál es el período de tiempo en el que se habilita el formulario para la entrega de los foros?|Según el documento anual DSI-104.El formulario para la entrega de los foros estará habilitado cada domingo desde las 00:01 hasta las 23:59 del día lunes.
¿Cuál es la ponderación de la evidencia de interacción con los alumnos en la evaluación de los foros?|Según el documento anual DSI-104.La evidencia de interacción con los alumnos representa el 30% de la evaluación de los foros.
¿Qué sucede si un tutor no tiene acceso a UEDI pero necesita comunicarse con los alumnos?|Según el documento anual DSI-104.En ese caso, el tutor puede utilizar Classroom o correo electrónico para comunicarse con los alumnos, siempre y cuando no se utilicen otros canales de comunicación no autorizados.
¿Cuál es el objetivo principal de las auditorías de asistencias de laboratorios?|Según el documento anual DSI-104.El objetivo principal es garantizar que cuando el equipo 104 ingrese a validar la asistencia al inicio y final se esté impartiendo laboratorio correctamente, compuesto por dos periodos de 50 minutos cada uno.
