Question|Answer
Where can I find information about the conference?|You can find more information in the document "DTT Manual for Academic Tutors"
Where can I find information about the conference?|You can find more information in the document "DTT Manual for Academic Tutors"
Where can I find information about the purpose of the conference?|You can find more information in the document "DTT Manual for Academic Tutors"
Is there a template for the conference report?|Yes, this is called "Conference Report Format Template"
Is there a template for the attendance list?|Yes, this is called "conference attendance list template"
Is there a template for a conference approval letter?|Yes, this is called "Conference Approval Letter Format Template"
Is there a template for the survey?|Yes, this is called a "Survey Template"
Is there a template for the conference diploma report?|Yes, this is called "Conference Diploma template"
Is there a conference poster template?|Yes, this is called "Conference Poster template"
Where can I find information to make the conference poster?|You can find more information in the document "Conference Poster Instructions"
Where can I find information to create the conference poster?|You can find more information in the document "Conference Poster Instructions"
Where can I find the DTT Manual for Academic Tutors document?|You can find it at: "https://drive.google.com/file/d/1IrubAe2-NzFQ9-08sGiGbNxTp0eYXU9D/view?usp=sharing"
Where can I find the Conference Report Format template?|You can find it at: "https://docs.google.com/document/d/19MDuu7lWcY_2-asFGDEKUusW7FHn-KMB/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the conference Attendance List template?|You can find it at: "https://docs.google.com/document/d/19ItQsPRpFiCjmbt9YLaxbC3EZWTCoGUh/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Conference Approval Letter Format template?|You can find it at: "https://docs.google.com/document/d/1i9P_4qHah_ilJMdQ07uvfuE4RmoLpXvQ/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Survey template?|You can find it at: "https://docs.google.com/document/d/115mPEtMPowxcFTDigU9lvaW5bANeVipM/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Conference Diploma template?|You can find it at: "https://drive.google.com/file/d/1AvJ8Gy6LR9H6XCjXB1rwK4iQrb8cfLfy/view?usp=sharing"
Where can I find the Conference Poster template?|You can find it at: "https://docs.google.com/presentation/d/1MDTFkY-0QLEqg1FGGEpZDzhpwaDYInE-/edit?usp=sharing&ouid=102942262489282477159&rtpof=true&sd=true"
Where can I find the Conference Poster Instructional document?|You can find it at: "https://drive.google.com/file/d/1TRk35krWWPtGZFe_2DL8Dzz22PkqwMS7/view?usp=sharing"
